striker,average_saves,average_scores,average_assists,average_knockouts,average_mvps,win_rate
CD_SpeedySkirmisher,9.443762514146426,3.5857491076869503,2.038695917123705,1.2669974754069817,0.2727431008966658,0.554583442151998
CD_NimbleBlaster,6.345017620154458,3.7981555072355104,1.870510609582365,2.578091024968134,0.1962210392142161,0.5793656744395291
CD_ChaoticRocketeer,7.414719421945108,3.590233669366587,1.976050346716392,4.7636501369384066,0.23996270613600607,0.5623798146961133
CD_WhipFighter,5.996989280303756,3.9612633516789075,1.7940245843480929,3.130458127984352,0.25240186396149344,0.5512877059082977
CD_EmpoweringEnchanter,7.973364126250963,2.9078983833718244,2.3596920708237104,1.9435565819861431,0.19254811393379523,0.5789068514241724
CD_FlexibleBrawler,3.6922485606262647,4.230770437538239,1.3591453179172615,6.082864000753024,0.2372495803460772,0.569333103242709
CD_HulkingBeast,3.7696745145858737,4.176062283087891,1.3264234124378576,5.115373792327174,0.18356626958071476,0.5733045680517775
CD_EDMOni,7.788288288288288,3.912054912054912,1.8728013728013728,2.574789074789075,0.321035321035321,0.5857285857285858
CD_CleverSummoner,7.937782529016493,3.7930054978619427,2.015699450213806,0.8992364080635309,0.24923640806353084,0.555742211362248
CD_TempoSniper,8.584001336005343,3.6952237808951236,2.0791344593949805,1.7296497757419602,0.27049336768775645,0.5715478576200019
CD_AngelicSupport,7.861980282897557,3.563651950278611,1.916845263609087,2.67038148306901,0.21003000428632662,0.551650235747964
CD_MagicalPlaymaker,7.422322827790354,3.704544663068083,2.0325091415636427,2.898171687271461,0.27388124673515585,0.5757792094724011
CD_ManipulatingMastermind,8.032502349234425,3.4516057708252723,1.958266541374164,1.9287491017633078,0.16367254435907358,0.5375601127632524
CD_GravityMage,7.59311694290976,3.1070441988950277,2.091965930018416,2.314111418047882,0.15757366482504603,0.4921731123388582
CD_FlashySwordsman,4.4805783532339785,4.076382921987497,1.5531687949986668,3.4819709045657907,0.21146040117329856,0.5434505644277207
CD_ShieldUser,4.971110154493711,4.178600468742526,1.4875400583536615,3.1173291242167696,0.2183479217486966,0.5694265078681782
CD_RockOni,6.260196732106844,3.3569164917479526,1.992097789850599,4.144873852739021,0.1882536938716714,0.5377618636045602
CD_Healer,10.336564240049494,2.8706949886574553,2.5203134666941636,1.3355330996081667,0.19529799958754382,0.5258816250773355
CD_StalwartProtector,7.342224916641406,3.5290997271900575,1.7575022734161867,2.68808729918157,0.18308578357077904,0.5477417399211882
CD_DrumOni,6.01472320376914,3.1984687868080095,1.9505300353356891,1.9952885747938751,0.11425206124852769,0.5041224970553593
CD_UmbrellaUser,4.2102379634753735,4.203099059214167,1.459988931931378,4.379302711676813,0.20132816823464306,0.5578859988931931
Global Average,6.472106927277953,3.7834837597010633,1.8306314074925745,3.1782197949602375,0.231618281115263,0.5615061799367634
